C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
----;-----------------------------------;---;-----------------------------------;--------------------;----------;-----------;---------;---------;---------
1   ;* 61 Cyg B                         ;Er*;316.7302660185276 +38.7420440332956;4105.976 3155.942   ;286.0054  ;-64.248    ;7.40     ;6.03     ;4.86     
2   ;* tau Cyg                          ;dS*;318.69788551 +38.04531782          ;  196.99 410.28     ;49.16     ;-20.90     ;4.120    ;3.730    ;3.38     
3   ;* 61 Cyg A                         ;BY*;316.7247482895925 +38.7494173194369;4164.209 3249.614   ;285.9949  ;-65.82     ;6.39     ;5.21     ;4.19     
4   ;* sig Cyg                          ;sg*;319.3539685017 +39.3946813328      ;    -0.13 -3.58     ;1.13      ;-5.30      ;4.37     ;4.24     ;4.06     
5   ;* 74 Cyg                           ;*  ;324.2373967167000 +40.4135256300500;  -1.228 11.238     ;15.2874   ;5.30       ;5.220    ;5.035    ;     ~   
6   ;* 77 Cyg                           ;SB*;325.5956619721 +41.0770204597      ;    23.48 -1.02     ;7.91      ;-24.5      ;5.777    ;5.726    ;     ~   
7   ;* 6 Lac                            ;SB*;337.6219168554 +43.1233767875      ;    -1.98 -5.36     ;1.90      ;-8.70      ;4.400    ;4.511    ;     ~   
8   ;* 11 Lac                           ;PM*;340.1285783617 +44.2763067336      ;    93.83 10.71     ;9.80      ;-11.53     ;5.79     ;4.46     ;3.54     
9   ;* 4 And                            ;*  ;346.9136133422700 +46.3872306074500;-12.734 -30.026     ;9.155     ;-11.86     ;6.702    ;5.294    ;     ~   
10  ;* psi And                          ;** ;356.5085293096100 +46.4202740163600;   8.446 -7.143     ;1.6352    ;-23.163    ;6.064    ;4.966    ;     ~   
11  ;* lam And                          ;RS*;354.3910115836791 +46.4581513114192;159.606 -421.822    ;38.5736   ;6.84       ;4.84     ;3.82     ;3.04     
12  ;* 22 And                           ;*  ;002.5801941408 +46.0722722236      ;      5.49 0.28     ;2.65      ;-5.4       ;5.44     ;5.04     ;4.62     
13  ;* pi. Cas                          ;SB*;010.8669570112600 +47.0245457774600;-24.570 -36.886     ;18.6293   ;12.90      ;5.120    ;4.949    ;     ~   
14  ;NAME Adhil                         ;*  ;020.5850836482100 +45.5287767357900;   31.681 9.024     ;14.6042   ;-12.97     ;5.951    ;4.868    ;     ~   
15  ;* 41 And                           ;PM*;017.0035527547300 +43.9420903799500;159.581 -60.487     ;16.432    ;9.50       ;     ~   ;     ~   ;4.9      
16  ;* ome And                          ;** ;021.9140863146646 +45.4066847576183;357.564 -110.039    ;34.7332   ;12.40      ;5.25     ;4.83     ;4.42     
17  ;* chi And                          ;SB*;024.8374523883700 +44.3861749765200;  -13.395 8.635     ;12.3592   ;6.91       ;5.886    ;5.008    ;     ~   
18  ;* gam02 And                        ;** ;030.9781584547900 +42.3309114220800; 16.645 -47.746     ;12.0724   ;-14.0      ;5.02     ;5.82     ;     ~   
19  ;NAME Almach                        ;SB*;030.97480121 +42.32972842          ;   42.32 -49.30     ;8.30      ;-11.50     ;3.30     ;2.10     ;1.16     
20  ;* 16 Per                           ;dS*;042.6460824479 +38.3186411175      ; 195.77 -109.98     ;27.01     ;14.0       ;4.57     ;     ~   ;4.0      
21  ;* 20 Per                           ;** ;043.42755351 +38.33748699          ;   46.79 -78.90     ;14.15     ;7.00       ;5.742    ;5.343    ;     ~   
22  ;* 75 Cyg                           ;** ;325.0462918166400 +43.2738377488500;  60.900 15.491     ;7.3395    ;-29.25     ;6.682    ;5.086    ;     ~   
23  ;* 2 Lac                            ;SB*;335.2564469371 +46.5365683569      ;     22.35 1.45     ;5.88      ;-9.5       ;4.431    ;4.540    ;     ~   
24  ;* 5 Lac                            ;s*r;337.3825937742 +47.7068868631      ;    -0.37 -3.33     ;1.98      ;-12.93     ;6.05     ;4.37     ;2.98     
25  ;* 7 And                            ;PM*;348.1375158304 +49.4062070853      ;    90.23 95.56     ;40.67     ;12.10      ;4.81     ;4.52     ;4.23     
